name,display_name,description,height,color
Bulbasaur,Bulbasaur,"The seed on its back is filled with nutrients. The seed grows steadily larger as its body grows.","0.6 to 0.8",Green
Ivysaur,Ivysaur,"The bulb on its back grows as it absorbs nutrients. The bulb gives off a pleasant aroma when it blooms.","0.9 to 1.0",Green
Venusaur,Venusaur,"It is able to convert sunlight into energy. As a result, it is more powerful in the summertime.","1.7 to 8.8",Green
Charmander,Charmander,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.","0.6 to 0.8",Red
Charmeleon,Charmeleon,"When it swings its burning tail, it elevates the temperature to unbearably high levels.","1.1 to 1.3",Red
Charizard,Charizard,"Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.","1.7 to 8.8",Red
Squirtle,Squirtle,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.","0.2 to 0.5",Blue
Wartortle,Wartortle,"Its large tail is covered with rich, thick fur that deepens in color with age. The scratches on its shell are evidence of this POKéMONs toughness in battle.","0.9 to 1.0",Blue
Blastoise,Blastoise,"A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.","1.4 to 1.6",Blue
Caterpie,Caterpie,"For protection, it releases a horrible stench from the antennae on its head to drive away enemies.","0.2 to 0.5",Green
Metapod,Metapod,"This is its pre-evolved form. At this stage, it can only harden, so it remains motionless to avoid attack.","0.6 to 0.8",Green
Butterfree,Butterfree,"In battle, it flaps its wings at high speed to release highly toxic dust into the air.","1.1 to 1.3",White
Weedle,Weedle,"Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head.","0.2 to 0.5",Brown
Kakuna,Kakuna,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators.","0.6 to 0.8",Yellow
Beedrill,Beedrill,"It can take down any opponent with its powerful poi son stingers. It sometimes attacks in swarms.","0.9 to 1.0",Yellow
Pidgey,Pidgey,"It has an extremely sharp sense of direction. It can unerringly return home to its nest, however far it may be removed from its familiar surroundings.","0.2 to 0.5",Brown
Pidgeotto,Pidgeotto,"PIDGEOTTO claims a large area as its own territory. This POKéMON flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.","1.1 to 1.3",Brown
Pidgeot,Pidgeot,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP.","1.4 to 1.6",Brown
Rattata,Rattata,"It eats anything. Wherever food is available, it will settle down and produce offspring continuously.","0.2 to 0.5",Purple
Raticate,Raticate,"The webs on its hind legs enable it to cross rivers. It searches wide areas for food.","0.6 to 0.8",Brown
Spearow,Spearow,"Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne.","0.2 to 0.5",Brown
Fearow,Fearow,"It has the stamina to fly all day on its broad wings. It fights by using its sharp beak.","1.1 to 1.3",Brown
Ekans,Ekans,"It flutters the tip of its tongue to seek out the scent of prey, then swallows the prey whole.","1.7 to 8.8",Purple
Arbok,Arbok,"The frightening patterns on its belly have been studied. Six variations have been confirmed.","1.7 to 8.8",Purple
Pikachu,Pikachu,"It raises its tail to check its surroundings. The tail is sometimes struck by lightning in this pose.","0.2 to 0.5",Yellow
Raichu,Raichu,"If the electric pouches in its cheeks become fully charged, both ears will stand straight up.","0.6 to 0.8",Yellow
Sandshrew,Sandshrew,"To protect itself from attackers, it curls up into a ball. It lives in arid regions with minimal rainfall.","0.6 to 0.8",Yellow
Sandslash,Sandslash,"Adept at climbing trees, it rolls into a spiny ball, then attacks its enemies from above.","0.9 to 1.0",Yellow
NidoranF,Nidoran♀,"Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns.","0.2 to 0.5",Blue
Nidorina,Nidorina,"When NIDORINA are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This POKéMON appears to become nervous if separated from the others.","0.6 to 0.8",Blue
Nidoqueen,Nidoqueen,"Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.","1.1 to 1.3",Blue
NidoranM,Nidoran♂,"It is small, but its horn is filled with poison. It charges then stabs with the horn to inject poison.","0.2 to 0.5",Purple
Nidorino,Nidorino,"Quick to anger, it stabs enemies with its horn to inject a powerful poison when it becomes agitated.","0.9 to 1.0",Purple
Nidoking,Nidoking,"Its tail is thick and powerful. If it binds an enemy, it can snap the victim's spine quite easily.","1.4 to 1.6",Purple
Clefairy,Clefairy,"Adored for their cute looks and playfulness. They are thought to be rare, as they do not appear often.","0.6 to 0.8",Pink
Clefable,Clefable,"With its acute hearing, it can pick up sounds from far away. It usually hides in quiet places.","1.1 to 1.3",Pink
Vulpix,Vulpix,"If it is attacked by an enemy that is stronger than itself, it feigns injury to fool the enemy and escapes.","0.6 to 0.8",Brown
Ninetales,Ninetales,"Its nine tails are said to be imbued with a mystic power. It can live for a thousand years.","1.1 to 1.3",Yellow
Jigglypuff,Jigglypuff,"When this POKéMON sings, it never pauses to breathe. If it is in a battle against an opponent that does not easily fall asleep, JIGGLYPUFF cannot breathe, endangering its life.","0.2 to 0.5",Pink
Wigglytuff,Wigglytuff,"The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size.","0.9 to 1.0",Pink
Zubat,Zubat,"ZUBAT avoids sunlight because exposure causes it to become unhealthy. During the daytime, it stays in caves or under the eaves of old houses, sleeping while hanging upside down.","0.6 to 0.8",Purple
Golbat,Golbat,"It can drink more than 10 ounces of blood at once. If it has too much, it gets heavy and flies clumsily.","1.4 to 1.6",Purple
Oddish,Oddish,"If exposed to moonlight, it starts to move. It roams far and wide at night to scatter its seeds.","0.2 to 0.5",Blue
Gloom,Gloom,"GLOOM releases a foul fragrance from the pistil of its flower. When faced with danger, the stench worsens. If this POKéMON is feeling calm and secure, it does not release its usual stinky aroma.","0.6 to 0.8",Blue
Vileplume,Vileplume,"The larger its petals, the more toxic pollen it contains. Its big head is heavy and hard to hold up.","1.1 to 1.3",Red
Paras,Paras,"PARAS has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from the BUG POKéMON host. They are highly valued as a medicine for extending life.","0.2 to 0.5",Red
Parasect,Parasect,"The larger the mushroom on its back grows, the stronger the mush room spores it scatters.","0.9 to 1.0",Red
Venonat,Venonat,"Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.","0.9 to 1.0",Purple
Venomoth,Venomoth,"It flutters its wings to scatter dustlike scales. The scales leach toxins if they contact skin.","1.4 to 1.6",Purple
Diglett,Diglett,"If a DIGLETT DIGS through a field, it leaves the soil perfectly tilled and ideal for planting crops.","0.2 to 0.5",Brown
Dugtrio,Dugtrio,"Its three heads move alternately, driving it through tough soil to depths of over 60 miles.","0.6 to 0.8",Brown
Meowth,Meowth,"All it does is sleep during the daytime. At night, it patrols its territory with its eyes aglow.","0.2 to 0.5",Yellow
Persian,Persian,"Many adore it for its sophisticated air. However, it will lash out and scratch for little reason.","0.9 to 1.0",Yellow
Psyduck,Psyduck,"When headaches stimulate its brain cells, which are usually inactive, it can use a mysterious power.","0.6 to 0.8",Yellow
Golduck,Golduck,"Often seen swimming elegantly by lake shores. It is often mistaken for the Japanese monster, Kappa.","1.7 to 8.8",Blue
Mankey,Mankey,"Extremely quick to anger. It could be docile one moment then thrashing away the next instant.","0.2 to 0.5",Brown
Primeape,Primeape,"When it becomes furious, its blood circulation becomes more robust, and its muscles are made stronger. But it also becomes much less intelligent.","0.9 to 1.0",Brown
Growlithe,Growlithe,"A POKéMON with a friendly nature. However, it will bark fiercely at anything invading its territory.","0.6 to 0.8",Brown
Arcanine,Arcanine,"This legendary Chinese POKéMON is considered magnificent. Many people are enchanted by its grand mane.","1.7 to 8.8",Brown
Poliwag,Poliwag,"It is possible to see this POKéMONs spiral innards right through its thin skin. However, the skin is also very flexible. Even sharp fangs bounce right off it.","0.6 to 0.8",Blue
Poliwhirl,Poliwhirl,"The surface of POLIWHIRLs body is always wet and slick with an oily fluid. Because of this greasy covering, it can easily slip and slide out of the clutches of any enemy in battle.","0.9 to 1.0",Blue
Poliwrath,Poliwrath,"An adept swimmer at both the front crawl and breast stroke. Easily overtakes the best human swimmers.","1.1 to 1.3",Blue
Abra,Abra,"It hypnotizes itself so that it can teleport away when it senses danger, even if it is asleep.","0.9 to 1.0",Brown
Kadabra,Kadabra,"It possesses strong spiritual power. The more danger it faces, the stronger its psychic power.","1.1 to 1.3",Brown
Alakazam,Alakazam,"The spoons clutched in its hands are said to have been created by its psychic powers.","1.4 to 1.6",Brown
Machop,Machop,"It loves to work out and build its muscles. It is never satisfied, even if it trains hard all day long.","0.6 to 0.8",Gray
Machoke,Machoke,"The belt around its waist holds back its energy. Without it, this POKéMON would be unstoppable.","1.4 to 1.6",Gray
Machamp,Machamp,"One arm alone can move mountains. Using all four arms, this POKéMON fires off awesome punches.","1.4 to 1.6",Gray
Bellsprout,Bellsprout,"Prefers hot and humid places. It ensnares tiny insects with its vines and devours them.","0.6 to 0.8",Green
Weepinbell,Weepinbell,"The leafy parts act as cutters for slashing foes. It spits a fluid that dissolves everything.","0.9 to 1.0",Green
Victreebel,Victreebel,"Lures prey with the sweet aroma of honey. Swallowed whole, the prey is melted in a day, bones and all.","1.7 to 8.8",Green
Tentacool,Tentacool,"When the tide goes out, dehydrated TENTACOOL remains can be found washed up on the shore.","0.9 to 1.0",Blue
Tentacruel,Tentacruel,"TENTACRUEL has large red orbs on its head. The orbs glow before lashing the vicinity with a harsh ultrasonic blast. This POKéMONs outburst creates rough waves around it.","1.4 to 1.6",Blue
Geodude,Geodude,"Most people may not notice, but a closer look should reveal that there are many GEODUDE around.","0.2 to 0.5",Brown
Graveler,Graveler,"It rolls on mountain paths to move. Once it builds momentum, no Pokémon can stop it without difficulty.","0.9 to 1.0",Brown
Golem,Golem,"It is capable of blowing itself up. It uses this explosive force to jump from mountain to mountain.","1.4 to 1.6",Brown
Ponyta,Ponyta,"It is a weak runner immediately after birth. It gradually becomes faster by chasing after its parents.","0.9 to 1.0",Yellow
Rapidash,Rapidash,"Just loves to run. If it sees some thing faster than itself, it will give chase at top speed.","1.7 to 8.8",Yellow
Slowpoke,Slowpoke,"A sweet sap leaks from its tail's tip. Although not nutritious, the tail is pleasant to chew on.","1.1 to 1.3",Pink
Slowbro,Slowbro,"Naturally dull to begin with, it lost its ability to feel pain due to SHELLDERs seeping poison.","1.4 to 1.6",Pink
Magnemite,Magnemite,"The units at its sides are extremely powerful magnets. They generate enough magnetism to draw in iron objects from over 300 feet away.","0.2 to 0.5",Gray
Magneton,Magneton,"Formed by several MAGNEMITEs linked together. They frequently appear when sunspots flare up.","0.9 to 1.0",Gray
Farfetchd,Farfetch'd,"It is always seen with a stick from a plant. Apparently, there are good sticks and bad sticks. This POKéMON occasionally fights with others over choice sticks.","0.6 to 0.8",Brown
Doduo,Doduo,"DODUOs two heads never sleep at the same time. Its two heads take turns sleeping, so one head can always keep watch for enemies while the other one sleeps.","1.4 to 1.6",Brown
Dodrio,Dodrio,"Uses its three brains to execute complex plans. While two heads sleep, one head stays awake.","1.7 to 8.8",Brown
Seel,Seel,"The protruding horn on its head is very hard. It is used for bashing through thick ice.","1.1 to 1.3",White
Dewgong,Dewgong,"Stores thermal energy in its body. Swims at a steady 8 knots even in intensely cold waters.","1.7 to 8.8",White
Grimer,Grimer,"Appears in filthy areas. Thrives by sucking up polluted sludge that is pumped out of factories.","0.9 to 1.0",Purple
Muk,Muk,"They love to gather in smelly areas where sludge accumulates, making the stench around them worse.","1.1 to 1.3",Purple
Shellder,Shellder,"It swims facing backward by opening and closing its two-piece shell. It is surprisingly fast.","0.2 to 0.5",Purple
Cloyster,Cloyster,"When attacked, it launches its horns in quick volleys. Its innards have never been seen.","1.4 to 1.6",Purple
Gastly,Gastly,"This POKéMON's body is 95% made up of gases, which are blown away by strong gusts of wind.","1.1 to 1.3",Purple
Haunter,Haunter,"In total darkness, where nothing is visible, HAUNTER lurks, silently stalking its next victim.","1.4 to 1.6",Purple
Gengar,Gengar,"The leer that floats in darkness belongs to a GENGAR delighting in casting curses on people.","1.4 to 1.6",Purple
Onix,Onix,"As it digs through the ground, it absorbs many hard objects. This is what makes its body so solid.","1.7 to 8.8",Gray
Drowzee,Drowzee,"Puts enemies to sleep then eats their dreams. Occasionally gets sick from eating bad dreams.","0.9 to 1.0",Yellow
Hypno,Hypno,"HYPNO holds a pendulum in its hand. The arcing movement and glitter of the pendulum lull the foe into a deep state of hypnosis. While this POKéMON searches for prey, it polishes the pendulum.","1.4 to 1.6",Yellow
Krabby,Krabby,"KRABBY live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these POKéMON can be seen squabbling with each other over territory.","0.2 to 0.5",Red
Kingler,Kingler,"It can hardly lift its massive, overgrown pincer. The pincer's size makes it difficult to aim properly.","1.1 to 1.3",Red
Voltorb,Voltorb,"It was discovered when POKéBALLS were introduced. It is said that there is some connection.","0.2 to 0.5",Red
Electrode,Electrode,"It stores an over flowing amount of electric energy inside its body. Even a small shock makes it explode.","1.1 to 1.3",Red
Exeggcute,Exeggcute,"Often mistaken for eggs. When disturbed, they quickly gather and attack in swarms.","0.2 to 0.5",Pink
Exeggutor,Exeggutor,"Legend has it that on rare occasions, one of its heads will drop off and continue on as an EXEGGCUTE.","1.7 to 8.8",Yellow
Cubone,Cubone,"Because it never removes its skull helmet, no one has ever seen this POKéMON's real face.","0.2 to 0.5",Brown
Marowak,Marowak,"The bone it holds is its key weapon. It throws the bone skillfully like a boomerang to KO targets.","0.9 to 1.0",Brown
Hitmonlee,Hitmonlee,"Its legs freely stretch and contract. Using these springlike limbs, it bowls over foes with devastating kicks. After battle, it rubs down its tired legs.","1.4 to 1.6",Brown
Hitmonchan,Hitmonchan,"Its punches slice the air. However, it seems to need a short break after fighting for three minutes.","1.4 to 1.6",Brown
Lickitung,Lickitung,"Its long tongue, slathered with a gooey saliva, sticks to anything, so it is very useful.","1.1 to 1.3",Pink
Koffing,Koffing,"If KOFFING becomes agitated, it raises the toxicity of its internal gases and jets them out from all over its body. This POKéMON may also overinflate its round body, then explode.","0.6 to 0.8",Purple
Weezing,Weezing,"Where two kinds of poison gases meet, 2 KOFFINGs can fuse into a WEEZING over many years.","1.1 to 1.3",Purple
Rhyhorn,Rhyhorn,"Strong, but not too bright, this POKéMON can shatter even a skyscraper with its charging TACKLES.","0.9 to 1.0",Gray
Rhydon,Rhydon,"Protected by an armor-like hide, it is capable of living in molten lava of 3,600 degrees.","1.7 to 8.8",Gray
Chansey,Chansey,"A rare and elusive POKéMON that is said to bring happiness to those who manage to get it.","1.1 to 1.3",Pink
Tangela,Tangela,"It is shrouded by blue vines. No one has seen the face hidden behind this growth of vines.","0.9 to 1.0",Blue
Kangaskhan,Kangaskhan,"Raises its young in its belly pouch. Won't run from any fight to keep its young protected.","1.7 to 8.8",Brown
Horsea,Horsea,"If attacked by a larger enemy, it quickly swims to safety by adeptly controlling its well-developed dorsal fin.","0.2 to 0.5",Blue
Seadra,Seadra,"SEADRA sleeps after wriggling itself between the branches of coral. Those trying to harvest coral are occasionally stung by this POKéMONs poison barbs if they fail to notice it.","1.1 to 1.3",Blue
Goldeen,Goldeen,"Its tail fin billows like an elegant ballroom dress, giving it the nickname of the Water Queen.","0.6 to 0.8",Red
Seaking,Seaking,"In the autumn, SEAKING males can be seen performing courtship dances in riverbeds to woo females. During this season, this POKéMONs body coloration is at its most beautiful.","1.1 to 1.3",Red
Staryu,Staryu,"As long as the center section is unharmed, it can grow back fully even if it is chopped to bits.","0.6 to 0.8",Brown
Starmie,Starmie,"At the center of its body is a red core, which sends mysterious radio signals into the night sky.","1.1 to 1.3",Purple
"Mr Mime","Mr. Mime","It is adept at conning people. It is said to be able to create walls out of thin air by miming.","1.1 to 1.3",Pink
Scyther,Scyther,"With ninja-like agility and speed, it can create the illusion that there is more than one.","1.4 to 1.6",Green
Jynx,Jynx,"A JYNX sashays rhythmically as if it were dancing. Its motions are so bouncingly alluring, people seeing it are compelled to shake their hips without noticing.","1.4 to 1.6",Red
Electabuzz,Electabuzz,"Normally found near power plants, they can wander away and cause major blackouts in cities.","1.1 to 1.3",Yellow
Magmar,Magmar,"Its body always burns with an orange glow that enables it to hide perfectly among flames.","1.1 to 1.3",Red
Pinsir,Pinsir,"PINSIR is astoundingly strong. It can grip a foe weighing twice its weight in its horns and easily lift it. This POKéMONs movements turn sluggish in cold places.","1.4 to 1.6",Brown
Tauros,Tauros,"These violent POKéMON fight with other members of their herd in order to prove their strength.","1.4 to 1.6",Brown
Magikarp,Magikarp,"Famous for being very unreliable. It can be found swimming in seas, lakes, rivers and shallow puddles.","0.9 to 1.0",Red
Gyarados,Gyarados,"It has an extremely aggressive nature. The HYPER BEAM it shoots from its mouth totally incinerates all targets.","1.7 to 8.8",Blue
Lapras,Lapras,"A POKéMON that has been over hunted almost to extinction. It can ferry people across the water.","1.7 to 8.8",Blue
Ditto,Ditto,"A DITTO rearranges its cell structure to transform itself. However, if it tries to change based on its memory, it will get details wrong.","0.2 to 0.5",Purple
Eevee,Eevee,"Its genetic code is irregular. It may mutate if it is exposed to radiation from element STONEs.","0.2 to 0.5",Brown
Vaporeon,Vaporeon,"When VAPOREON's fins begin to vibrate, it is a sign that rain will come within a few hours.","0.9 to 1.0",Blue
Jolteon,Jolteon,"It concentrates the weak electric charges emitted by its cells and launches wicked lightning bolts.","0.6 to 0.8",Yellow
Flareon,Flareon,"It has a flame chamber inside its body. It inhales, then blows out fire that is over 3,000F degrees.","0.9 to 1.0",Red
Porygon,Porygon,"A man-made Pokémon created using advanced scientific means. It can move freely in cyberspace.","0.6 to 0.8",Pink
Omanyte,Omanyte,"Although long extinct, in rare cases, it can be genetically regenerated from fossils.","0.2 to 0.5",Blue
Omastar,Omastar,"A prehistoric POKéMON that died out when its heavy shell made it impossible to catch prey.","0.9 to 1.0",Blue
Kabuto,Kabuto,"It is thought to have inhabited beaches 300 million years ago. It is protected by a stiff shell.","0.2 to 0.5",Brown
Kabutops,Kabutops,"KABUTOPS once swam underwater to hunt for prey. It was apparently evolving from being a water dweller to living on land as evident from changes in its gills and legs.","1.1 to 1.3",Brown
Aerodactyl,Aerodactyl,"A savage POKéMON that died out in ancient times. It was resurrected using DNA taken from amber.","1.7 to 8.8",Purple
Snorlax,Snorlax,"Its stomach can digest any kind of food, even if it happens to be moldy or rotten.","1.7 to 8.8",Black
Articuno,Articuno,"The magnificent, seemingly translucent wings of this legendary bird POKéMON are said to be made of ice.","1.7 to 8.8",Blue
Zapdos,Zapdos,"This legendary bird POKéMON is said to appear only when a thundercloud parts into two halves.","1.4 to 1.6",Yellow
Moltres,Moltres,"One of the legendary bird POKéMON. Those seeing it are overwhelmed by its orange wings that seem to be on fire.","1.7 to 8.8",Yellow
Dratini,Dratini,"This POKéMON is full of life energy. It continually sheds its skin and grows steadily larger.","1.7 to 8.8",Blue
Dragonair,Dragonair,"A mystical POKéMON that exudes a gentle aura. Has the ability to change climate conditions.","1.7 to 8.8",Blue
Dragonite,Dragonite,"It can fly in spite of its big and bulky physique. It circles the globe in just 16 hours.","1.7 to 8.8",Brown
Mewtwo,Mewtwo,"Because its battle abilities were raised to the ultimate level, it thinks only of defeating its foes.","1.7 to 8.8",Purple
Mew,Mew,"So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide.","0.2 to 0.5",Pink
